,songID,artist,title,timestamp,tags,sentiment,countries,gdp,temperature,neighbors
0,TRRRUTV12903CEA11B,Del Shannon,Runaway,2011-08-12 11:38:48.606856,"['oldies', '60s', 'rocknroll', 'classicrock', 'RockandRoll', 'runaway', 'pop', 'rock', 'delshannon', '1961', 'rockabilly', '50s', 'Love', 'american', 'sixties', 'malevocalists', 'favorites', ""60's"", 'delshannon-runaway', 'classic', 'crimestory', 'easylistening', 'party', 'sad', 'Soundtrack', 'malevocalist', 'kitsch', 'Favourites', 'favoritesongs', 'Energetic', 'greatsong', 'RnRHallofFame500songsthatshapedrockandroll', 'catchy', 'USA', 'DelShannonrunaway', 'rock-n-roll', 'softrock', 'starbird-bakery', 'why-why-why', ""rock'n'roll"", 'usahot100numberonehit', 'f', 'Pitchforks200GreatestSongsofthe1960s', 'dellshannon', '1960s', 'perfect', '500essentialsongs', 'hardy-geraniumneighbor', 'goldenoldies', 'CLAVIOLINE', 'other', 'nostalgic', 'Awesome', 'starocie', 'nostalgia', 'sunny', 'Legendary', 'top40', 'swietne', 'clasico', 'frogandfrigate', 'loved', 'goldies', 'fajne', 'oldie', 'spyoldie', 'spy60', 'RollingStonesTop500SongsofAllTime', 'doowop', 'Loveit', 'light', 'onehitwonder', 'old', 'ifuckinglovethissong', 'legend', 'temazo', 'spinoza', 'kot', 'whenIgrewup', 'myfavorite', 'acclaimedmusictop3000', 'ulalume-oldies', 'poprock', '718Love', 'ulalume-sixties', 'blues', 'Driving', 'favesongs', 'Surf', 'epic', 'beautiful', '60spop', 'happy', 'dance', 'purodolorpuro', 'runawayoldie', 'musitron', 'Runnaway', 'RunawayWithDelShannon', 'Lovemusick']",-1.0,"['Malawi', 'Mongolia', 'Norway', 'Tajikistan', 'Tonga']",103879.372,11.35,['TRIUXKA128F92D3818']
1,TRRRIAA128F9305629,The Chicharones,Alone,2011-09-07 10:37:32.541715,[],-1.0,['Swaziland'],4941.37,21.4,[]
2,TRRRZNX128F4283F58,UGK,Something Good,2011-08-11 05:06:33.588212,['classic'],5.481159029649598,"['CapeVerde', 'Lebanon']",18076.62,15.0,[]
3,TRRRZNZ128F425A5D4,Out of the Grey,Gravity,2011-09-06 17:19:17.965900,[],5.651626016260161,['Benin'],17785.64,27.55,['TRKRXYB12903CA82CC']
4,TRRRTTF128F9306DF1,Cold Blue,Fever,2011-09-07 01:14:03.874463,"['to-lookup2', 'trance', 'german', 'electronic', 'dance', 'upliftingtrance', '2009', 'playedontatw', 'drjazzmrfunkmusic']",-1.0,"['Bhutan', 'Nigeria']",221546.205,17.2,[]
5,TRRRSBL12903CFB6BD,Magnitude 9,Changes,2011-09-07 12:04:57.150274,['Progressivemetal'],5.6113986013986015,"['Burundi', 'Congo']",7712.995,22.175,[]
6,TRRRSFJ128F9330987,Trauma Team,Issues,2011-09-06 18:32:43.307840,[],-1.0,"['Botswana', 'SaudiArabia']",17613.85,21.5,[]
7,TRRRALY128F92F8BE2,Axel Rudi Pell,Higher,2011-08-15 17:49:09.958555,['heavymetal'],5.734444444444446,"['Barbados', 'Botswana', 'Dominica', 'Kuwait']",32255.125,24.25,[]
8,TRRRAXS128F934C8C8,Corrosion of Conformity,Crawling,2011-09-14 11:15:49.365479,['favorites'],5.086344086021504,"['Bangladesh', 'Belarus', 'Bulgaria', 'Grenada', 'India', 'Iraq', 'Kazakhstan', 'Kyrgyzstan', 'Malawi', 'Mauritania', 'Mauritius', 'Moldova', 'Nepal', 'RussianFederation', 'Turkmenistan', 'Ukraine', 'Uzbekistan', 'Venezuela']",295612.6923529412,15.920588235294119,[]
9,TRRRAJI128F92EDA0F,Coughs,Intro,2011-08-02 10:46:16.833958,[],-1.0,"['Albania', 'Algeria', 'Andorra', 'Armenia', 'Australia', 'Austria', 'Azerbaijan', 'Bahrain', 'Belarus', 'Belgium', 'Belize', 'Brazil', 'Bulgaria', 'Cambodia', 'Canada', 'Chad', 'China', 'Croatia', 'Cyprus', 'CzechRepublic', 'Egypt', 'Estonia', 'France', 'Georgia', 'Germany', 'Greece', 'Grenada', 'Guyana', 'Haiti', 'Hungary', 'Iceland', 'Iraq', 'Ireland', 'Israel', 'Italy', 'Jordan', 'Kazakhstan', 'Kyrgyzstan', 'Latvia', 'Lebanon', 'Lithuania', 'Macedonia', 'Malawi', 'Malaysia', 'Maldives', 'Malta', 'Mauritius', 'Moldova', 'Monaco', 'Mongolia', 'Montenegro', 'Morocco', 'Mozambique', 'Netherlands', 'NewZealand', 'Norway', 'Oman', 'Pakistan', 'Palau', 'Poland', 'Portugal', 'Qatar', 'Romania', 'RussianFederation', 'SaudiArabia', 'Serbia', 'Singapore', 'Slovakia', 'Slovenia', 'SolomonIslands', 'SouthAfrica', 'Spain', 'Switzerland', 'Taiwan', 'Thailand', 'Tonga', 'Tunisia', 'Turkey', 'Turkmenistan', 'Uganda', 'Ukraine', 'UnitedArabEmirates', 'UnitedStates', 'Uzbekistan', 'Yemen', 'Zimbabwe']",575476.7564102564,15.014102564102558,[]
10,TRRRAUV128F92EB1A9,Shorty Rogers,Didi,2011-08-12 18:06:34.664307,['simplyjazz'],-1.0,['Algeria'],167983.14,22.5,[]
11,TRRRMKC128E0792990,Guns N' Roses,Civil War,2011-08-09 04:41:35.612574,"['rock', 'hardrock', 'classicrock', 'GunsNRoses', '80s', '90s', 'political', 'metal', 'guitar', 'heavymetal', 'Slash', 'Awesome', 'anti-war', 'civilwar', 'favorites', 'american', 'hairmetal', 'epic', 'GNR', ""GunsN'Roses"", 'Ballad', 'AxlRose', 'alternativerock', 'USA', 'war', 'guitarvirtuoso', 'California', 'GlamMetal', 'rockballad', ':3', 'loved', ""can'tlivewithout"", 'rocknroll', 'alternative', 'Ilove', 'glamrock', 'sad', 'Favourites', 'bestsongs', 'rockballads', 'cancionesinmortales', 'Axl', 'politics', 'Generalhardrock', 'sleazerock', 'favoritesongs', 'Hard', 'emotional', 'Library', 'Favorite', 'Alltimefavourites', 'RockandRoll', 'bluesrock', 'Lisha', 'Melancholisch', 'favourite', 'slashsolo', '90sRock', 'UseYourIllusion', 'acordesgeniales', 'piano', 'classic', 'didyc', 'pop', 'aitchepic', 'GuitarSolo', 'DuffMcKagan', 'over5minuteslong', 'pantera', 'GunsNRoses-CivilWar', '90shardrock', '80srock', 'Anthemic', 'ballads', ""Rock'n'Roll"", 'perfect', 'brilliant', 'FUCKINGAWESOME', 'aitch', 'aitchsonic', 'Love', 'Legendary', 'bestsongever', 'slgdmtopalbums', 'goodbeat', 'amazing', 'nice', 'gunners', 'Protest', 'ballady', 'AwesomeGuitarJams', 'bestalbumopeners', '1991', 'oldies', 'gunsandroses', 'sonicrock', 'Classical', 'beautiful', 'mymusic', 'politicallyrics']",5.361936936936937,['Djibouti'],3371.1,28.0,"['TRRNTKW128F427A9C6', 'TRIYGTT12903CD3D5C', 'TRTMFMN128F92F4085', 'TRUNYCG128F423A553', 'TRFKBGQ12903CA1463', 'TRCJLKT128F92D5CA4', 'TRXIBFG128F42A4CFF', 'TRTZDTT128F92F4328', 'TRYALRP128F92F521E', 'TRASQZZ128F42716DA']"
12,TRRRDHR128F92DC287,Sisters Euclid,Heart of Gold,2011-08-02 19:50:08.149285,['neilyoungcover'],-1.0,"['Burundi', 'Mali']",11022.885,24.025,[]
13,TRRRQWU128F92C39A9,Matt Belsante,At Last,2011-08-12 16:57:37.269607,[],-1.0,"['Benin', 'Burundi', 'Congo', 'Gabon', 'Ghana']",25815.052,24.830000000000002,[]
14,TRRRQEO128F934CB10,The Awesome Machine,Untitled,2011-09-07 23:00:47.321529,"['StonerRock', 'hardrock']",-1.0,"['Ethiopia', 'Indonesia']",648682.05,24.025,[]
15,TRRREPN128F42920D2,Angelzoom,Lights,2011-08-12 13:35:53.488875,"['Gothic', 'darkwave', 'femalevocalists', 'beautiful', 'rocknroll', 'femalevocalist', 'relaxing', 'femalefronted', 'melancholic', 'ethereal', 'adultocontemporaneo', 'germany', 'Europe', 'Angelzoom']",5.737121212121212,['Seychelles'],1320.05,27.15,[]
16,TRRREQC128F9314AD6,Erskine Hawkins & His Orchestra,Blackout,2011-09-07 23:39:45.892533,[],-1.0,['Samoa'],788.39,26.7,[]
17,TRRRKRN128F4226ED4,Underworld,Teardrop,2011-08-15 22:02:33.226221,"['electronica', 'trip-hop', 'chillax']",-1.0,"['Albania', 'Algeria', 'Andorra', 'Argentina', 'Armenia', 'Australia', 'Austria', 'Azerbaijan', 'Bangladesh', 'Belarus', 'Belgium', 'Bulgaria', 'Cambodia', 'Cameroon', 'Canada', 'CostaRica', 'Croatia', 'Cyprus', 'CzechRepublic', 'Denmark', 'DominicanRepublic', 'Egypt', 'Estonia', 'Ethiopia', 'Fiji', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Hungary', 'Iceland', 'Ireland', 'Israel', 'Italy', 'Kazakhstan', 'Kyrgyzstan', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Macedonia', 'Madagascar', 'Malta', 'Mauritius', 'Moldova', 'Mongolia', 'Montenegro', 'Morocco', 'Mozambique', 'Netherlands', 'NewZealand', 'Norway', 'Poland', 'Portugal', 'Qatar', 'Romania', 'RussianFederation', 'Serbia', 'Slovakia', 'Slovenia', 'SolomonIslands', 'SouthAfrica', 'Spain', 'Switzerland', 'Tunisia', 'Turkey', 'Uganda', 'Ukraine', 'UnitedArabEmirates', 'UnitedKingdom', 'Uzbekistan', 'Vanuatu']",388030.64923076914,12.256923076923073,[]
18,TRRRLCS128E0793808,Tamia,Careless Whisper,2011-08-02 18:54:38.224840,"['tamia', 'cover', 'carelesswhisper', 'pop', 'rnb', 'slowjams', 'femalevocalists', 'smooth', 'slow', 'femalevocalist', 'soul', 'dance', 'rhythmandblues', 'covers', 'saxophone', 'sensual', '90s', 'Canadian', 'RB', 'midtempo', 'slowmusic', 'thebestsinger', 'makesmewannadance', 'covervsoriginal', 'remade', 'dejamequetecuente', 'geogemichael', 'Blacklist', 'Abdulaye', 'dncagainoldskul', 'CarelessWhisper-Tamia', 'adultcontemporary', 'Neo-Soul', 'lovesong', 'soft', 'heartbreak', 'r&b', 'blue', 'Dreamy', 'romantic', 'FavoriteArtists', 'favorites', 'Hip-Hop', 'Mellow', 'jazz-funk', 'funk', 'rhythumandbluestag']",5.641455696202532,"['Azerbaijan', 'Ethiopia', 'Fiji', 'Iraq', 'Jamaica', 'Monaco']",66471.53166666666,19.741666666666664,['TRXWSGS128F931EDBD']
